Koodi;Alkuperäinen teksti;
k19_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Henkilökohtaisen, luottamuksellisen tiedon jakaminen:Minä koin;
k19_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Henkilökohtaisen, luottamuksellisen tiedon jakaminen:Kollegani koki;
k19_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Välinpitämättömyys tai tiedon pimittäminen:Minä koin;
k19_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Välinpitämättömyys tai tiedon pimittäminen:Kollegani koki;
k19_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Useat tai jatkuva kritiikki, vähättely, virheiden hakeminen:Minä koin;
k19_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Useat tai jatkuva kritiikki, vähättely, virheiden hakeminen:Kollegani koki;
k19_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Juoruilu, valheellisen tiedon levittäminen:Minä koin;
k19_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Juoruilu, valheellisen tiedon levittäminen:Kollegani koki;
k19_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Ehdotuksen tai ideoiden huomioimatta jättäminen tai vähättely:Minä koin;
k19_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Ehdotuksen tai ideoiden huomioimatta jättäminen tai vähättely:Kollegani koki;
k19_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Työstä ei anneta tunnustusta:Minä koin;
k19_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Työstä ei anneta tunnustusta:Kollegani koki;
k19_8_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Aikaisemmista lupauksista luopuminen:Minä koin;
k19_8_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Aikaisemmista lupauksista luopuminen:Kollegani koki;
k19_9_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Huumoriin kiedottu loukkaus:Minä koin;
k19_9_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Huumoriin kiedottu loukkaus:Kollegani koki;
k19_10_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Sosiaalinen tai ammatillinen eristäminen, toiminnasta tai keskustelusta poisjättäminen:Minä koin;
k19_10_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Sosiaalinen tai ammatillinen eristäminen, toiminnasta tai keskustelusta poisjättäminen:Kollegani koki;
k19_11_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Maalittaminen (yhden henkilön kehotuksesta tapahtuva suuren joukon hyökkäys viesteillä, esim. sähköposteilla tai sosiaalisessa mediassa):Minä koin;
k19_11_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta vihamielisyydestä tai epäasiallisesta kohtelusta::Maalittaminen (yhden henkilön kehotuksesta tapahtuva suuren joukon hyökkäys viesteillä, esim. sähköposteilla tai sosiaalisessa mediassa):Kollegani koki;
k20_1_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Loukkaava kielenkäyttö, herjaaminen:Minä koin;
k20_1_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Loukkaava kielenkäyttö, herjaaminen:Kollegani koki;
k20_2_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Ryhmiin liittyvät yleistykset (esim. vähemmistövitsit):Minä koin;
k20_2_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Ryhmiin liittyvät yleistykset (esim. vähemmistövitsit):Kollegani koki;
k20_3_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Organisaation ulkopuolisten henkilöiden erilaiset odotukset henkilökohtaisten ominaisuuksien perusteella:Minä koin;
k20_3_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Organisaation ulkopuolisten henkilöiden erilaiset odotukset henkilökohtaisten ominaisuuksien perusteella:Kollegani koki;
k20_4_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Pätevyyden vähättely henkilökohtaisten ominaisuuksien perusteella:Minä koin;
k20_4_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Pätevyyden vähättely henkilökohtaisten ominaisuuksien perusteella:Kollegani koki;
k20_5_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Kohtuullisten mukautusten epääminen vammaiselta henkilöltä:Minä koin;
k20_5_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Kohtuullisten mukautusten epääminen vammaiselta henkilöltä:Kollegani koki;
k20_6_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Käskyt tai ohjeet syrjiä toista henkilöä (asiakasta, potilasta tai työkollegaa):Minä koin;
k20_6_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Käskyt tai ohjeet syrjiä toista henkilöä (asiakasta, potilasta tai työkollegaa):Kollegani koki;
k20_7_1;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Syrjivä kohtelu ammattiyhdistystoimintaan osallistumisen takia:Minä koin;
k20_7_2;Voitko tarkentaa kokemuksiasi tai havaintojasi organisaation ulkopuolelta tulleesta syrjinnästä::Syrjivä kohtelu ammattiyhdistystoimintaan osallistumisen takia:Kollegani koki;
k21_1;Miten vakavia sinuun kohdistuneen epäasiallisen käytöksen vaikutukset olivat?:Fyysiset vaikutukset;
k21_2;Miten vakavia sinuun kohdistuneen epäasiallisen käytöksen vaikutukset olivat?:Psyykkiset vaikutukset;
k21_3;Miten vakavia sinuun kohdistuneen epäasiallisen käytöksen vaikutukset olivat?:Ammatilliset vaikutukset;
k22_1; (Miten pitkäkestoisia sinuun kohdistuneen epäasiallisen kohtelun vaikutukset olivat?):Fyysiset vaikutukset;
k22_2; (Miten pitkäkestoisia sinuun kohdistuneen epäasiallisen kohtelun vaikutukset olivat?):Psyykkiset vaikutukset;
k22_3; (Miten pitkäkestoisia sinuun kohdistuneen epäasiallisen kohtelun vaikutukset olivat?):Ammatilliset vaikutukset;
k22_1_1; (Miten pitkäkestoisia sinuun kohdistuneen epäasiallisen kohtelun vaikutukset olivat?):Fyysiset vaikutukset:Jatkuu tällä hetkellä;
k22_2_1; (Miten pitkäkestoisia sinuun kohdistuneen epäasiallisen kohtelun vaikutukset olivat?):Psyykkiset vaikutukset:Jatkuu tällä hetkellä;
k22_3_1; (Miten pitkäkestoisia sinuun kohdistuneen epäasiallisen kohtelun vaikutukset olivat?):Ammatilliset vaikutukset:Jatkuu tällä hetkellä;
k23_1;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Ilmoitin kohtelusta esihenkilölleni;
k23_2;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Hain lääketieteellistä hoitoa;
k23_3;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Hain psykososiaalista hoitoa (esimerkiksi defusing- tai debriefing-menettely, työpsykologin tapaaminen);
k23_4;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Hain rikosoikeudellista apua;
k23_5;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Tein ilmoituksen organisaation käyttämässä järjestelmässä (esimerkiksi työtapaturma-, uhka- ja väkivaltatilanne-, vaaratapahtuma- tai muu työsuojeluilmoitus);
k23_6;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Hälytin turvallisuusviranomaiset (esim. hätäpuhelu, Virven käyttö);
k23_7;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Muutin suojavarustekäytäntöjäni;
k23_8;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Kerroin kollegoilleni kohtelusta;
k23_9;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Jäin pois toiminnasta, jätin menemättä tehtäviin;
k23_10;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Ilmoitin asiasta luottamushenkilölle tai työsuojeluun;
k23_11;Miten reagoit epäasiallisen kohtelun kokemukseesi?:Ilmoitin asiasta johtohenkilölle, ohittaen esihenkilöni;
k24_1;Onko organisaatiollasi käytössä ilmoitusjärjestelmä, jossa voit ilmoittaa epäasiallisen kohtelun tilanteista?:Organisaation sisällä tapahtuneille tilanteille;
k24_2;Onko organisaatiollasi käytössä ilmoitusjärjestelmä, jossa voit ilmoittaa epäasiallisen kohtelun tilanteista?:Organisaation ulkopuolelta tulleelle kohtelulle;
k24_3;Onko organisaatiollasi käytössä ilmoitusjärjestelmä, jossa voit ilmoittaa epäasiallisen kohtelun tilanteista?:Sekä sisäiset että ulkoiset tilanteet yhdessä järjestelmässä;
k25_1;Onko organisaatiollasi tarjolla koulutusta ilmoitusjärjestelmän käyttöön?:Organisaation sisällä tapahtuneille tilanteille;
k25_2;Onko organisaatiollasi tarjolla koulutusta ilmoitusjärjestelmän käyttöön?:Organisaation ulkopuolelta tulleelle kohtelulle;
k25_3;Onko organisaatiollasi tarjolla koulutusta ilmoitusjärjestelmän käyttöön?:Sekä sisäiset että ulkoiset tilanteet yhdessä järjestelmässä;
k26_1;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Ilmoitusjärjestelmät ovat liian työläitä tai raskaita;
k26_2;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Ilmoituksen tekeminen ei johda toimenpiteisiin;
k26_3;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Pelkään vastatoimia esihenkilöiltäni tai johdolta, jos tekisin ilmoituksen;
k26_4;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Jos epäasiallisen kohtelun tekijä on alentuneessa toimintatilassa, häntä ei voi syyttää toiminnastaan;
k26_5;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Teen ilmoituksen jokaisesta kokemastani epäasiallisesta kohtelusta;
k26_6;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Konfliktitilanteet ovat osa työtäni;
k26_7;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Minulla ei ole tilaisuutta tai mahdollisuutta tehdä ilmoituksia;
k26_8;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Minulle on epäselvää, milloin ilmoitus pitäisi täyttää;
k26_9;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Unohdan tehdä ilmoituksen kokemastani epäasiallisesta kohtelusta;
k26_10;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Pelkään ilmoituksen johtavan oman ammattitaitoni kyseenalaistamiseen;
k26_11;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Oletan, että joku muu hoitaa ilmoituksen puolestani;
k26_12;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Valtakunnallisesti yhtenäisestä ilmoitusprosessista olisi hyötyä;
k26_13;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:En ilmoita epäasiallisesta kohtelusta, koska en halua pahaa tekijälle;
k26_14;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Epäasiallisen kohtelun kokemukset ovat yksittäistapahtumia;
k26_15;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:En tee ilmoituksia, koska tekijä saa tietää niistä;
k26_16;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Kollegani näkisivät minut ongelmallisena tai vaikeana jos tekisin ilmoituksen;
k26_17;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Pelkään menettäväni työpaikkani ilmoituksen myötä;
k26_18;Ota kantaa seuraaviin väitteisiin ilmoitusjärjestelmistä ja niiden käytöstä:Pelkään kollegoideni ryhtyvän vastatoimiin, jos tekisin ilmoituksen;
k27_1;Seuraavat väittämät koskevat työtilannettasi ja sitä koskevia tuntemuksiasi. Miten usein seuraavat väittämät kuvaavat tilannettasi?:Tunnen itseni henkisesti uupuneeksi työssäni;
k27_2;Seuraavat väittämät koskevat työtilannettasi ja sitä koskevia tuntemuksiasi. Miten usein seuraavat väittämät kuvaavat tilannettasi?:En ole kiinnostunut enkä innostunut työstäni;
k27_3;Seuraavat väittämät koskevat työtilannettasi ja sitä koskevia tuntemuksiasi. Miten usein seuraavat väittämät kuvaavat tilannettasi?:Minun on vaikea pysyä tarkkaavaisena työssäni;
k27_4;Seuraavat väittämät koskevat työtilannettasi ja sitä koskevia tuntemuksiasi. Miten usein seuraavat väittämät kuvaavat tilannettasi?:En pysty hallitsemaan tunteitani työssäni;
k28_1;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Tasa-arvo- tai yhdenvertaisuussuunnitelma;
k28_2;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Toimintaohjeet epäasialliseen käytökseen, häirintään tai seksuaaliseen häirintään reagointiin;
k28_3;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Henkilöstön turvallisuusselvitykset;
k28_4;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Ohjeet alaikäisten koskemattomuuden turvaamiselle;
k28_5;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Nuorten kanssa toimivien rikostaustojen tarkastaminen;
k28_6;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Ohjeet ahdistelutilanteen käsittelyyn;
k28_7;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Ohjeet uhka- ja väkivaltatilanteen käsittelyyn;
k28_8;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Ilmoitusjärjestelmä epäasiallisen kohtelun raportoimiseksi;
k28_9;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Koulutus uhka- ja väkivaltatilanteiden kohtaamiseen;
k28_10;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Koulutus epäasiallisen kohtelun tunnistamiseen;
k28_11;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Keskustelutilaisuuksia tasa-arvo- ja yhdenvertaisuusaiheista;
k28_12;Onko organisaatiossasi käytössä seuraavia epäasialliseen kohteluun liittyviä toimenpiteitä tai ohjeita?:Henkilöstön infotilaisuudet organisaation yhdenvertaisuustilanteesta;
k29_1;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Tasa-arvo- tai yhdenvertaisuus-suunnitelma;
k29_2;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Toimintaohjeet epäasialliseen käytökseen, häirintään tai seksuaaliseen häirintään reagointiin;
k29_3;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Henkilöstön turvallisuusselvitykset;
k29_4;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Ohjeet alaikäisten koskemattomuuden turvaamiselle;
k29_5;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Nuorten kanssa toimivien rikostaustojen tarkastaminen;
k29_6;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Ohjeet ahdistelutilanteen käsittelyyn;
k29_7;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Ohjeet uhka- ja väkivaltatilanteen käsittelyyn;
k29_8;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Ilmoitusjärjestelmä epäasiallisen kohtelun raportoimiseksi;
k29_9;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Koulutus uhka- ja väkivaltatilanteiden kohtaamiseen;
k29_10;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Koulutus epäasiallisen kohtelun tunnistamiseen;
k29_11;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Keskustelutilaisuuksia tasa-arvo- ja yhdenvertaisuusaiheista;
k29_12;Miten edellä olevat toimet mielestäsi vaikuttavat epäasiallisen kohtelun esiintyvyyteen?:Henkilöstön infotilaisuudet organisaation yhdenvertaisuustilanteesta;
k30_1;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Voimankäyttökoulutus tai -välineiden käyttöönotto;
k30_2;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Toimintaan osallistuvat puuttuvat havaitsemaansa epäasialliseen kohteluun;
k30_3;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Ohjeet epäasiallisen kohtelun jälkeisistä menettelyistä, esimerkiksi puuttumisprosessista tai jatkoavun saamisesta;
k30_4;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Yhdenvertaisuuden koulutukset;
k30_5;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Avoimet keskustelut organisaatiossa epäasiallisesta kohtelusta yleisellä tasolla (ei yksittäisistä tapahtumista);
k30_6;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Turvallisuusviranomaisten yhteistyön parantaminen;
k30_7;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Lainsäädännön tiukentaminen tai rikosoikeudellisten seuraamuksien jyrkentäminen;
k30_8;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Johdon selkeä ilmaisu epäasiallisen kohtelun nollatoleranssille;
k30_9;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Organisaation nimetty yhdenvertaisuusvastaava;
k30_10;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Monimuotoiset työyhteisöt;
k30_11;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Rikosilmoituksen tekeminen automaattisesti epäasiallisen kohtelun tilanteissa;
k30_12;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Nimettömän palautteen tai ilmoituskanavan käyttö;
k30_13;Miten hyödyllisinä koet seuraavat ehdotetut toimenpiteet epäasiallisen kohtelun estämiseksi tai vähentämiseksi?:Työterveydenhuollon tuen laajentaminen;
k31;Mikä sukupuolesi on?;
k32;Millaisella työrytmityksellä olet töissä pelastuslaitoksella tai ensihoidossa?;
k33;Kuinka monta tuntia käytät keskimäärin aikaa palokuntatoimintaan viikossa, poisluettuna varallaolo?;
k34;Teetkö varallaoloa tai oletko sopimuksenvaraisessa hälytysvalmiudessa?;
k35;Kuinka monta tuntia teet varallaoloa keskimäärin kuukaudessa?;
k36_1;Millaisia toimintoja teet sopimuspalokunnassasi tai palokuntayhdistyksessäsi?:Sammutus- ja pelastustoiminta;
k36_2;Millaisia toimintoja teet sopimuspalokunnassasi tai palokuntayhdistyksessäsi?:Ensivastetoiminta;
k36_3;Millaisia toimintoja teet sopimuspalokunnassasi tai palokuntayhdistyksessäsi?:Yhdistystoiminnan johto- tai hallintotehtävät;
k36_4;Millaisia toimintoja teet sopimuspalokunnassasi tai palokuntayhdistyksessäsi?:Operatiiviset johtotehtävät;
k36_5;Millaisia toimintoja teet sopimuspalokunnassasi tai palokuntayhdistyksessäsi?:Muut operatiiviset tehtävät;
k36_6;Millaisia toimintoja teet sopimuspalokunnassasi tai palokuntayhdistyksessäsi?:Muut vastuutehtävät;
k36_7;Millaisia toimintoja teet sopimuspalokunnassasi tai palokuntayhdistyksessäsi?:Tukitoiminnot;
k37;Millaisella rytmityksellä toimit organisaatiossasi?;
k38;Missä asemassa toimit organisaatiossasi pääsääntöisesti?;
k39;Missä asemassa toimit organisaatiossasi pääsääntöisesti?;
k40;Mihin ammattiryhmään kuulut?;
k41;Kuinka kauan olet toiminut pelastusalalla tai ensihoidossa?:;
k42_1_1;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Muuttaa tehtävänkuvaani:Olen harkinnut;
k42_1_2;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Muuttaa tehtävänkuvaani:Olen toteuttamassa;
k42_1_3;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Muuttaa tehtävänkuvaani:Olen jo tehnyt;
k42_2_1;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Vaihtaa organisaatiotani:Olen harkinnut;
k42_2_2;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Vaihtaa organisaatiotani:Olen toteuttamassa;
k42_2_3;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Vaihtaa organisaatiotani:Olen jo tehnyt;
k42_3_1;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Lähteä alalta:Olen harkinnut;
k42_3_2;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Lähteä alalta:Olen toteuttamassa;
k42_3_3;Onko sinulla ollut viimeisen 12 kuukauden aikana aikeita tai suunnitelmia muuttaa tilannettasi seuraavilla tavoilla, tai oletko jo muuttanut tilannettasi?:Lähteä alalta:Olen jo tehnyt;
k43;Voitko kertoa syitä muutoksellesi tai sen aikeille?;
